Gene	Chr	Start	End
RP4-704D23.1	1	14348955	14351023
RP3-467K16.4	1	15402979	15409433
RP4-680D5.9	1	15682873	15683128
RP4-798A10.2	1	16460948	16468481
RP4-798A10.7	1	16514645	16515754
RP4-798A10.4	1	16520694	16521796
RP5-875O13.1	1	16533886	16536172
RP5-1182A14.5	1	16617391	16617729
CROCCP2	1	16618262	16644683
RP1-163M9.7	1	16701546	16705594
RP11-108M9.1	1	16851257	16853129
RP11-108M9.2	1	16855407	16859284
RP11-108M9.3	1	16870945	16874092
RP11-108M9.4	1	16888538	16889649
RP11-108M9.6	1	16904339	16904776
RP11-380J14.1	1	17189783	17197617
RP11-473A10.2	1	17717687	17749978
RP11-174G17.2	1	18065657	18074412
RP11-422P22.1	1	18385829	18388514
RP3-340N1.2	1	20154338	20160568
RP3-340N1.6	1	20243095	20244655
LINC01141	1	20360579	20431234
RP4-749H3.2	1	20412304	20413253
RP11-293F5.1	1	21415898	21417492
RP1-224A6.3	1	22023994	22024968
LINC00339	1	22025188	22031223
RP1-224A6.9	1	22100613	22101360
LINC01355	1	23281309	23286752
RP5-1057J7.7	1	23378380	23379029
RP1-150O5.3	1	23549139	23550915
RP11-10N16.2	1	24200240	24211693
RP4-594I10.3	1	24538802	24556024
RP11-84D1.2	1	24968423	24970865
RP4-799D16.1	1	25043707	25113120
RP3-465N24.6	1	25247837	25248321
RP11-70P17.1	1	25581478	25590356
RP4-752I6.1	1	27457198	27459582
RP11-288L9.1	1	27660328	27662722
RP5-1092A3.5	1	28247144	28247568
RP11-442N24__B.1	1	28643228	28648581
RNU11	1	28648600	28648730
RP11-242O24.3	1	29144494	29146994
RP3-437I16.1	1	29329620	29350114
RP4-656G21.1	1	29708851	29709547
RP11-111I12.1	1	30013952	30037612
RP5-893G23.1	1	30140263	30141607
RP4-591L5.1	1	30409560	30411638
RP4-591L5.2	1	30415825	30421108
RP5-1125N11.1	1	30810378	30815553
RP1-65J11.1	1	30824228	30834284
LINC01226	1	31518435	31524245
RP11-84A19.2	1	31842019	31855568
RP11-84A19.4	1	31851913	31921841
RP4-534N18.2	1	31933020	31933975
RP4-811H24.9	1	32349194	32350663
RP11-415J8.7	1	33261212	33261680
RP4-789D17.5	1	35929720	35930115
RP5-1180C18.1	1	37262739	37325100
RP5-884C9.2	1	38047314	38119025
LINC01343	1	38209034	38214767
RP11-329N22.1	1	38475196	38476484
RP4-739H11.3	1	40669089	40687588
RP11-399E6.1	1	41242373	41284861
RP5-994D16.3	1	42678735	42681659
RP5-994D16.11	1	42787990	42798230
SLC2A1-AS1	1	42959049	42983358
RP5-1198O20.4	1	44030443	44115913
LINC01144	1	45303910	45305619
LINC01398	1	46446673	46449704
LINC00505	1	46455823	46482475
CYP4A22-AS1	1	47096653	47179271
RP11-543D5.1	1	47688463	47703383
RP11-543D5.2	1	47761132	47765547
RP11-330M19.1	1	47818066	47820237
RP4-683M8.2	1	48053545	48067201
RP11-193P11.3	1	48078787	48082196
RP5-1024N4.2	1	48205965	48206843
LINC01562	1	51195095	51235096
RP11-25O10.2	1	52554818	52555273
RP4-784A16.5	1	53328233	53336509
RP11-117D22.1	1	53348488	53349233
RP11-117D22.2	1	53366668	53368245
RP4-705F19.1	1	54416256	54420860
RP5-866L20.1	1	54516412	54517259
RP11-101C11.1	1	55217861	55234177
RP11-466L17.1	1	55581037	55735002
RP11-90C4.1	1	55823807	55868248
RP11-90C4.2	1	55915609	55944963
RP11-90C4.3	1	55945087	55950119
RP1-158P9.1	1	56145721	56155224
RP11-504A18.1	1	56248294	56258571
RP4-710M16.2	1	56414963	56415966
RP6-102O10.1	1	57386576	57387450
RP11-393I23.4	1	58060139	58080274
LINC01135	1	58785160	58899594
RP11-63G10.3	1	58812808	58813342
RP11-63G10.2	1	58838448	58851254
RP4-794H19.1	1	58882868	58896703
LINC01358	1	59020387	59044614
RP11-145M4.1	1	59054397	59056049
RP11-145M4.2	1	59055999	59078116
RP11-145M4.3	1	59056643	59088195
RP11-470E16.2	1	59132473	59240555
RP11-467C18.1	1	59289303	59289640
RP4-782L23.1	1	59772795	59788848
RP11-575B7.3	1	60114875	60149679
RP11-776H12.1	1	60540249	60640491
RP11-436K8.1	1	60659631	60825584
RP11-430G17.3	1	61741998	61742424
RP4-771M4.3	1	62896009	62901639
RP11-5P4.1	1	63000497	63012471
RP11-5P4.2	1	63024207	63025658
RP11-5P4.3	1	63078081	63079031
RP11-335E6.2	1	63139250	63163153
RP11-335E6.4	1	63159083	63162636
LINC00466	1	63189989	63317231
RP11-335E6.3	1	63249920	63251771
LINC01359	1	64972225	65002476
RP4-535B20.4	1	65003470	65004087
RP4-535B20.1	1	65066627	65067737
RP4-763G1.2	1	67529630	67532329
RP11-424D14.1	1	69055898	69185003
RP11-74K19.1	1	69243372	69249423
RP3-380B4.1	1	69433255	69435409
RP11-42O15.3	1	70445071	70445536
RP5-952N6.1	1	70706453	70786468
RP11-99H8.1	1	70715933	70720289
RP11-386O9.2	1	71250999	71252119
RP4-660H19.1	1	72748921	72899140
RP11-262K1.1	1	72765031	72780291
LINC01360	1	73306170	73355251
RP4-788P17.1	1	73635216	73715214
RP11-17E13.2	1	74698769	74699333
RP11-93N20.1	1	74963314	74965118
RP11-510C10.4	1	75122518	75123927
RP11-550H2.1	1	76011324	76019356
RP11-550H2.2	1	76041691	76066228
RP5-1102E8.3	1	76636877	76637339
RP11-415A20.1	1	76758124	76779267
RP4-726F1.1	1	79323769	79324863
RP11-339A11.2	1	80114943	80116918
RP11-339D23.1	1	80373364	80374621
RP5-933B4.1	1	80534978	80584363
RP5-887A10.1	1	80535755	80646788
RP11-147G16.1	1	82215220	82261133
LINC01362	1	82903183	83166815
LINC01361	1	82973882	82986208
RP11-413G15.1	1	83446053	83454771
RP11-475O6.1	1	83575776	83861023
RP5-836J3.1	1	83790280	83801465
RP11-486G15.2	1	84076331	84077931
LINC01555	1	84628230	84635020
RP11-131L23.2	1	85467295	85467660
RP11-290M5.4	1	85578500	85578742
RP11-290M5.2	1	85599131	85600734
RP4-604K5.3	1	86932199	86934891
LINC01140	1	87129765	87169198
LINC01364	1	87353524	87371655
RP5-1027O11.1	1	87899909	87905714
RP5-943J3.2	1	89820174	89820868
RP11-302M6.5	1	89939601	89940147
RP5-827O9.1	1	90510910	90533472
RP4-665J23.1	1	90782986	90851650
RP4-665J23.2	1	90851759	90854286
RP4-665J23.4	1	90860550	90862920
RP4-621B10.8	1	92189237	92190707
RP4-561L24.3	1	93847174	93848939
RP11-148B18.1	1	94247908	94249492
RP11-148B18.4	1	94318479	94324569
RP11-148B18.3	1	94333267	94334848
RP11-86H7.6	1	94585556	94592297
RP11-86H7.7	1	94621151	94624184
LINC01057	1	94638461	94820281
RP4-586O15.1	1	95310928	95318263
RP11-14O19.1	1	95351251	95352254
RP11-14O19.2	1	95356229	95381000
FLJ31662	1	95474737	95479356
RP11-286B14.1	1	95510116	95782342
RP11-286B14.2	1	95743096	95759470
RP11-147C23.1	1	95937901	96022880
RP5-898J17.1	1	96254069	96374125
RP11-272L13.3	1	97933474	97941746
RP11-490G2.2	1	97967005	97968814
MIR137HG	1	97988000	98049863
RP5-1070A16.1	1	98210747	98272658
RP11-413P11.1	1	99472415	99534015
RP5-837M10.2	1	100344477	100345242
LINC01349	1	100627049	100640613
LINC01307	1	101323337	101390303
RP11-411H5.1	1	101723742	101729614
RP11-202K23.1	1	102199739	102389630
RP5-936J12.1	1	102763322	102853842
RP11-153F1.2	1	103414879	103425465
RP11-364B6.1	1	104073023	104077087
RP11-251P6.1	1	105587575	105618958
RP11-24P14.1	1	105927624	106023212
RP5-947P14.1	1	106073247	106084499
RP11-233E12.1	1	106818239	106838167
RP11-356N1.2	1	108071482	108074519
RP11-483I13.2	1	108261196	108273689
RP11-131J3.1	1	108420689	108433184
SCARNA2	1	109100193	109100619
RP4-735C1.6	1	109828355	109871436
RP11-195M16.3	1	109895973	109897861
RP11-470L19.2	1	110487680	110490258
RP11-284N8.3	1	110653560	110657040
LINC01160	1	111599655	111608723
RP11-88H9.2	1	111989770	111998842
RP5-965F6.2	1	112177234	112360528
LINC01356	1	112820170	112850643
RP3-522D1.1	1	112850028	112877871
RP11-389O22.1	1	113008254	113047055
RP11-31F15.2	1	113011687	113073105
RP4-543J13.1	1	114206427	114262278
RP4-666F24.3	1	115099672	115102658
RP11-12L8.1	1	115919376	115925908
RP5-1185H19.2	1	116164284	116166241
RP4-655J12.4	1	116423724	116478842
RP4-655J12.5	1	116429049	116433368
RP5-1086K13.1	1	116493016	116499212
RP4-753F5.1	1	116909149	116909531
LINC01525	1	117295520	117321336
RP11-188D8.1	1	117364899	117365473
RP4-712E4.1	1	119000344	119001392
RP4-712E4.2	1	119000618	119001405
RP11-418J17.3	1	119260265	119327303
RP5-834N19.1	1	119328176	119356182
RP11-114O18.1	1	120076616	120077091
CH17-118O6.2	1	120913275	121009291
RP11-439A17.4	1	121118126	121146826
CH17-437K3.1	1	121396754	121463129
RP11-343N15.2	1	121412719	121429274
RP11-344P13.4	1	121494379	121510383
RP11-344P13.6	1	121518366	121518829
RP11-344P13.1	1	121573946	121580524
RP11-763B22.6	1	143499187	143500512
RP11-403I13.5	1	143736066	143739506
RP11-403I13.7	1	143790010	143797108
RP5-998N21.4	1	143877731	143885076
RP11-14N7.2	1	144227030	144250288
RP11-763B22.4	1	144418113	144419192
CH17-125A10.2	1	144627192	144642372
RP11-289H16.1	1	144641371	144919902
CH17-373J23.1	1	145281116	145281462
RP11-89F3.2	1	145286610	145287755
RP11-458D21.1	1	146052566	146061948
CH17-353B19.1	1	146235806	146237807
CH17-408M7.1	1	146514471	146525289
RP4-704D21.2	1	147001931	147003618
RP11-533N14.3	1	147697794	147699335
RP11-433J22.3	1	147777590	147788953
RP6-74O6.2	1	147993862	148014956
XXyac-YX155B6.7	1	148011799	148012228
RP11-94I2.4	1	148021850	148025931
RP4-565E6.1	1	148159213	148254985
XXyac-YX155B6.5	1	148162360	148186630
RP11-495P10.6	1	148271884	148280749
RP11-495P10.8	1	148290890	148295859
RP11-495P10.5	1	148295180	148297556
RP11-495P10.7	1	148295792	148297271
RP11-495P10.3	1	148328999	148344636
RP6-74O6.6	1	148358245	148358686
LINC01138	1	148362995	148460150
RP11-495P10.1	1	148415197	148429361
RP4-791M13.3	1	149048576	149051273
CH17-189H20.1	1	149176022	149251013
RP11-326G21.1	1	149264252	149264816
LINC00869	1	149606334	149679523
RP11-353N4.6	1	149607765	149612402
RP11-353N4.5	1	149677498	149747812
RP11-196G18.24	1	149845816	149846486
FALEC	1	150515757	150518032
RP11-126K1.9	1	151327949	151328429
RP11-98D18.17	1	151798054	151798602
RP11-107M16.2	1	152205858	152207057
LINC00302	1	152655477	152656804
RP1-140J1.1	1	153174518	153191676
RP11-422P24.11	1	153977743	153979160
RP11-307C12.13	1	154937370	154938059
RP11-139I14.2	1	156388226	156395609
RP11-98G7.1	1	156446412	156456577
RP11-284F21.8	1	156509854	156511681
RP11-284F21.11	1	156614742	156615288
RP11-284F21.9	1	156637783	156641004
RP11-66D17.3	1	156687695	156691997
RP11-71G12.1	1	157185388	157187405
RP11-85G21.1	1	157232231	157237136
RP11-85G21.3	1	157280716	157283068
RP11-85G21.2	1	157287703	157288053
RP11-404O13.1	1	158132044	158140639
RP11-404O13.5	1	158197922	158203877
RP11-180D21.3	1	159466321	159483376
LINC01133	1	159961218	159979061
RP11-312J18.6	1	160931739	160934380
RP11-227F8.2	1	162039016	162039567
RP11-77M5.1	1	163259850	163260659
RP11-306I1.2	1	165598463	165623331
RP11-466F5.10	1	165706556	165707284
RP11-479J7.2	1	166334884	166335762
RP11-479J7.1	1	166387727	166452632
RP11-276E17.2	1	166475772	166490039
RP11-277B15.3	1	167219831	167220512
RP11-104L21.3	1	167457742	167459891
RP5-968D22.1	1	168400829	168422656
RP5-968D22.3	1	168464214	168495644
RP1-10C16.1	1	168763365	168774490
LINC00626	1	168786939	168792886
RP1-206D15.6	1	169486076	169486986
RP1-117P20.3	1	169762929	169764648
RP11-297H3.3	1	170174403	170241287
LINC01142	1	170271603	170284208
RP11-545I10.2	1	170587249	170588236
RP1-79C4.1	1	170598854	170647339
RP1-79C4.4	1	170667381	170669425
RP1-15D23.2	1	172775905	173064015
RP3-471M13.2	1	172906900	172907684
RP3-395P12.2	1	173174300	173175503
RP11-160H22.3	1	174022509	174022985
RP11-160H22.5	1	174115300	174160004
RP5-1114G22.2	1	175203228	175204849
RP11-222A5.1	1	175877343	175880468
RP11-318C24.2	1	175904762	175920513
RP1-35C21.1	1	177351586	177366272
RP1-35C21.2	1	177393287	177597709
RP11-63B19.1	1	177700524	177710330
RASAL2-AS1	1	178091508	178093984
LINC00083	1	178495896	178499634
C1orf220	1	178542752	178548889
RP5-1098D14.1	1	178651706	178652282
RP11-12M5.1	1	179730217	179742697
RP11-12M5.4	1	179829609	179836124
RP11-533E19.7	1	179881607	179882595
RP11-533E19.2	1	179926641	179941796
RP11-533E19.5	1	179953184	179954440
RP11-502H18.2	1	180117140	180123890
OVAAL	1	180558976	180566518
RP11-46A10.2	1	180906651	180909166
RP11-540K16.1	1	181174484	181182208
RP11-540K16.2	1	181190471	181191149
GM140	1	181236388	181238604
RP11-33M22.2	1	181812705	181813261
RP11-538D16.2	1	182062677	182069253
RP11-538D16.3	1	182086551	182090112
GS1-122H1.1	1	182127297	182128665
LINC01344	1	182129310	182314061
LINC00272	1	182407621	182414815
RP11-317P15.4	1	182615254	182616629
RP11-317P15.3	1	182712862	182714544
RP11-382D12.1	1	184329071	184332826
RP11-382D12.2	1	184385753	184386704
GS1-120K12.4	1	185001527	185008683
GS1-279B7.2	1	185317779	185318530
GS1-279B7.1	1	185321157	185335039
LINC01350	1	185558372	185628527
GS1-204I12.4	1	185655002	185657168
GS1-304P7.3	1	186521773	186522304
PACERR	1	186680622	186681446
LINC01036	1	187092842	187360323
LINC01037	1	187443606	187477222
RP11-445P19.3	1	187480293	187480614
ERVMER61-1	1	187641226	187643860
RP11-201A3.1	1	188218400	188220676
RP11-669M2.1	1	188508538	188536465
RP11-316I3.1	1	188705623	188710880
RP11-316I3.2	1	188869477	188887434
LINC01035	1	188905688	189037262
RP11-398M15.1	1	189775465	189814918
RP11-445J9.1	1	189868001	189868528
LINC01351	1	190478551	190480735
RP11-161I10.1	1	190480379	190494297
RP11-463J7.2	1	190624890	190801658
RP11-309H21.3	1	191151510	191154634
RP11-309H21.2	1	191221159	191228467
RP11-541F9.1	1	191858707	191890229
RP11-541F9.2	1	191875495	192011260
RP5-1011O1.3	1	192529579	192538102
LINC01032	1	192937300	192948257
LINC01031	1	193304745	193365953
RP11-21J7.1	1	193678894	193727035
RP11-98G13.1	1	193684246	193688429
RP11-563D10.1	1	194149473	194198694
RP11-476H20.1	1	194350943	194352426
RP11-476B1.1	1	196044996	196061073
RP11-553K8.2	1	198597724	198598868
MIR181A1HG	1	198807493	198937429
RP11-16L9.2	1	198983321	198985400
LINC01222	1	199006040	199021037
LINC01221	1	199016133	199076735
RP11-382E9.1	1	199148598	199393307
RP11-532L16.3	1	200315435	200315967
LINC00862	1	200342544	200374354
RP11-469A15.2	1	200473920	200478293
RP11-92G12.3	1	200669507	200694250
RP11-134G8.5	1	201518703	201530474
RP11-569A11.2	1	202632428	202632911
RP11-480I12.7	1	202861754	202875241
LINC01353	1	203287152	203288801
LINC01136	1	203298758	203305309
LINC00303	1	204032447	204041265
LINC00628	1	204368431	204369719
RP11-430C7.5	1	204626775	204629712
RP11-23I7.1	1	204663872	204664613
BLACAT1	1	205434886	205437879
RP11-576D8.4	1	205455929	205469024
RP11-38J22.1	1	206175060	206177246
RP11-534L20.5	1	206503948	206504456
RP11-164O23.7	1	207179296	207184062
RP11-6J21.2	1	207249067	207309121
RP11-357P18.2	1	207372559	207373252
C1orf132	1	207801518	207869150
RP11-328D5.1	1	207873795	207879073
RP11-565N2.1	1	208607100	208612192
RP11-565N2.2	1	208626741	208628085
RP11-459K23.2	1	208728688	208733184
RP5-1051D14.1	1	208972454	208975307
RP11-385M4.1	1	209147267	209155101
RP11-372M18.1	1	209325456	209328532
RP11-372M18.2	1	209367662	209379690
RP1-272L16.1	1	209528455	209567673
RP11-543B16.3	1	211182156	211183104
LINC00467	1	211382803	211435333
RP11-359E8.3	1	211492255	211492917
RP11-354K1.2	1	211635906	211642867
RP11-354K1.1	1	211639695	211654581
RP11-122M14.3	1	211715928	211725402
RP11-15I11.2	1	212168207	212190259
RP11-15I11.3	1	212225278	212238977
RP11-61J19.2	1	212466816	212467743
RP11-61J19.3	1	212545694	212556065
RP11-61J19.5	1	212557833	212559731
RP11-338C15.3	1	212653999	212665434
FLVCR1-AS1	1	212852108	212858088
RP11-554K11.2	1	213492301	213546447
RP11-323I1.1	1	213731416	213794587
LINC00538	1	213924749	213926654
LINC00210	1	217892900	217920804
RP11-152L7.1	1	218031835	218033660
RP11-152L7.2	1	218043505	218059140
C1orf143	1	218510096	218525978
RP11-412H9.2	1	218912757	218916184
RP11-135J2.3	1	219222248	219225497
RP11-392O17.2	1	219270774	219273387
RP11-392O17.1	1	219409681	219411941
RP11-95P13.1	1	219435152	219442642
RP11-95P13.2	1	219557192	219557701
RP11-302I18.3	1	220359731	220360183
RP11-410C4.5	1	220401122	220404033
RP11-410C4.4	1	220485104	220487043
RNU6ATAC35P	1	220825620	220826063
RP11-295M18.6	1	220828676	220829211
LINC01352	1	220829255	220832429
C1orf140	1	221330080	221336296
RP11-103C3.1	1	221508559	221510979
RP11-191N8.2	1	221827666	221840666
RP11-815M8.1	1	221880981	221978523
RP11-400N13.2	1	221966341	221984964
RP11-400N13.3	1	222041705	222064763
RP11-400N13.1	1	222089169	222387434
RP11-358H9.1	1	222452738	222454705
RP11-378J18.9	1	222477252	222504622
RP11-452F19.3	1	222815022	222837384
RP11-455P21.3	1	222815064	222994906
RP11-239E10.2	1	223144049	223144954
RP11-239E10.3	1	223181144	223188154
RP11-504P24.8	1	223951388	223953439
RP11-504P24.9	1	223994262	223995196
RP11-396C23.2	1	226083639	226090292
CTD-2090I13.1	1	227393591	227431035
RP5-881P19.7	1	228073909	228076550
IBA57-AS1	1	228164086	228165512
RP11-245P10.6	1	228384114	228385016
RP5-1065P14.2	1	229092815	229094905
RP5-1061H20.4	1	229258281	229271028
RP11-286M16.1	1	229875550	229885752
RP11-552D4.1	1	230002730	230007162
RP11-543E8.1	1	230592660	230595583
RP5-858B6.1	1	230823641	230824707
RP5-865N13.2	1	232160091	232185643
RP5-865N13.1	1	232174932	232180113
RP11-66A2.1	1	232718071	232722250
RP11-66A2.2	1	232727254	232742715
LINC01354	1	234527891	234531779
RP5-855F14.2	1	234565298	234570088
LINC00184	1	234629311	234634780
RP4-781K5.9	1	234644666	234647571
RP4-781K5.4	1	234646289	234683176
RP4-781K5.5	1	234660271	234667104
RP4-781K5.6	1	234669523	234696153
LINC01132	1	234724042	234731643
RP11-443B7.2	1	234957231	234959989
RP11-443B7.1	1	234957342	234970062
RP11-443B7.3	1	234979647	234980804
LINC01348	1	235065479	235074220
RP4-597N16.4	1	235104180	235104609
RP5-940F7.2	1	235942553	235943805
RP4-580N22.2	1	235957879	235971825
RP11-136B18.2	1	238276037	238287016
LINC01139	1	238480384	238486023
RP11-177F15.1	1	238485445	238538305
RP11-544D21.2	1	239247808	239250818
RP11-35L17.3	1	239915439	239916955
RP11-80B9.4	1	240739419	240739853
RP11-527D7.1	1	241424292	241433492
RP11-261C10.1	1	243005845	243007468
LINC01347	1	243029512	243052252
RP11-278H7.1	1	243917402	244047317
RP11-278H7.4	1	244068820	244093026
RP11-278H7.3	1	244107365	244109011
RP11-11N7.4	1	244864738	244865272
RP11-690C23.2	1	246516039	246524287
RP11-439E19.9	1	246682108	246685075
RP11-439E19.7	1	246690047	246691821
C1orf229	1	247110160	247112417
RP11-488L18.10	1	247187281	247188526
RP11-488L18.8	1	247210691	247241823
RP11-407H12.8	1	248484245	248485484
XX-CR54.1	1	248692191	248699110
AC079779.5	2	305111	314367
RP11-356M6.1	2	307683	309424
AC079779.6	2	317912	342118
AC105393.1	2	388412	416885
AC105393.2	2	421057	422303
AC093326.1	2	490944	492655
AC093326.2	2	545805	546667
AC093326.3	2	558204	578145
AC116609.1	2	724966	731224
RP13-539J13.1	2	739588	740164
AC116609.3	2	741977	749856
AC116609.2	2	742488	747767
LINC01115	2	779840	868426
AC113607.2	2	900216	905451
AC141930.2	2	1572554	1580311
AC144450.2	2	1620510	1625419
AC018685.1	2	2641989	2656630
AC018685.2	2	2729908	2730957
AC011995.1	2	2834264	2838391
AC011995.3	2	2870558	2871231
LINC01250	2	2895048	3126026
AC019118.3	2	3131581	3145780
AC019118.4	2	3156756	3157797
RP11-1293J14.1	2	3496956	3497428
AC108488.4	2	3531813	3536873
AC019172.2	2	3844184	3847411
LINC01304	2	3957655	3974070
AC012445.1	2	4136644	4140731
LINC01249	2	4628222	4656215
AC107057.1	2	5549780	5556031
AC010729.2	2	5726449	5730342
AC010729.3	2	5810641	5812596
AC017053.1	2	6312954	6325646
LINC01247	2	6366010	6375422
AC021021.2	2	6496003	6503806
MIR7515HG	2	6615389	6650535
LINC00487	2	6728177	6770311
RP11-439M11.1	2	6905724	6906301
RP11-557L19.1	2	7260871	7261504
AC092580.3	2	7671604	7672246
AC092580.4	2	7725801	7730705
AC007463.2	2	7886770	7899655
LINC00298	2	7922425	8278084
LINC00299	2	8007771	8383621
U91324.1	2	8139402	8143269
AC011747.3	2	8543592	8575501
AC011747.4	2	8559833	8583792
AC011747.6	2	8600892	8622942
RP11-434B12.1	2	8721134	8722686
RP11-734K21.5	2	9106593	9109865
RP11-734K21.3	2	9115197	9116884
RP11-734K21.4	2	9143166	9146106
RP11-214N9.1	2	9555899	9556775
RP11-521D12.1	2	9638772	9649439
RP11-521D12.2	2	9674023	9708413
RP11-521D12.5	2	9757496	9770341
RP11-95D17.1	2	9936360	9939590
RP11-254F7.1	2	10021578	10022825
RP11-254F7.2	2	10039092	10040663
AC104794.4	2	10083781	10086101
RP11-254F7.4	2	10120734	10121065
C2orf48	2	10141382	10211725
RP11-320M2.1	2	10448694	10451327
AC007249.3	2	10452319	10455552
RN7SL832P	2	10690344	10692099
AC092687.3	2	10717773	10720952
RP11-791G15.2	2	10767875	10770058
AC092687.4	2	10847577	10854955
RP11-245G13.2	2	10878269	10885118
AC062028.1	2	11105317	11132821
AC099344.2	2	11357515	11365636
AC099344.3	2	11388023	11390367
LINC00570	2	11393981	11403077
RP11-494G9.1	2	11673964	11676925
AC096559.1	2	11848622	12578348
AC096559.2	2	12598987	12605145
RP11-333O1.1	2	12715415	12716227
AC092635.1	2	13537673	13609168
LINC00276	2	13710531	14400963
AC016730.1	2	13723048	13758152
AC011897.2	2	14616428	14630192
AC068286.1	2	14886647	14907664
AC008271.1	2	15690782	15744339
AC113608.1	2	15801747	15810877
MYCNUT	2	15920399	15936017
AC010145.4	2	15997049	16062885
GACAT3	2	16050427	16085801
AC142119.1	2	16085222	16105841
AC010745.1	2	16202430	16204226
AC010745.2	2	16224047	16229140
AC010745.3	2	16227027	16228194
AC010745.4	2	16316324	16319566
AC010880.1	2	16354256	16432702
AC008069.1	2	16728124	16767555
AC080094.1	2	16970034	16974497
RP11-111J6.2	2	18547386	18548204
AC106053.1	2	18784807	18787752
LINC01376	2	18986451	19346748
AC010096.1	2	19458220	19468961
AC010096.2	2	19475450	19488850
AC019055.1	2	19711715	19717576
LINC00954	2	19868860	19885047
RP11-79O8.1	2	19902025	19902569
RP11-644K8.1	2	20052134	20054496
AC098828.2	2	20063856	20106829
AC023137.2	2	20451042	20452947
AC012065.4	2	20499571	20501311
RP11-130L8.2	2	20586248	20586686
RP11-130L8.1	2	20678254	20678932
AC012361.1	2	20859771	20861661
RP11-116D2.1	2	20999313	21000917
AC067959.1	2	21221175	21970959
AC011752.1	2	21317660	21561313
AC009411.2	2	21630548	21636309
AC009411.1	2	21638431	21649563
AC018742.1	2	21687434	21710623
AC068490.2	2	21933336	22531105
AC068490.1	2	21944609	21965551
AC096570.2	2	22377594	22482004
AC096570.1	2	22536479	22538288
AC016768.1	2	23018125	23199056
AC012506.1	2	23330664	23332044
AC012506.2	2	23347654	23351864
AC012506.3	2	23357516	23360376
AC012506.4	2	23375229	23381299
AC012074.2	2	25369136	25375845
LINC01460	2	27705786	27715732
RP11-373D23.3	2	28425945	28426719
AC104695.4	2	28448167	28450184
RP11-713D19.1	2	28810281	28810706
AC109642.1	2	30346659	30352431
AL133249.1	2	31793823	31803980
RP11-1057B6.1	2	31852976	31853423
RP11-563N4.1	2	32165046	32165757
AL133245.2	2	32321638	32323002
LINC00486	2	32825443	32926693
AL121656.5	2	32927127	32928405
LINC01317	2	33706886	34297753
LINC01318	2	34067226	34069550
AC073218.1	2	34383788	34635340
LINC01320	2	34677555	34738231
RP11-529E15.1	2	34692290	34703606
AC073218.3	2	34734975	34737118
AC012593.1	2	34799850	35185689
AC019064.1	2	34998273	35000160
RP11-490M8.1	2	36354749	36355114
AC007391.2	2	37325340	37326797
AC006369.3	2	37744333	37747046
